ID,Inventor,Recency,Frequency,Monetary
1,*非凡,1417,4,0.4344739673082698
2,A-F·尤什达,49,1,0.3882557254182283
3,A-S·盖耶,346,1,0.3110968562814125
4,A-V·S·皮蓬,941,1,0.48912296914938475
5,A.A.D.M.佩雷拉,2012,1,0.3262122284457836
6,A.B.米希姆,595,1,0.7722881475670268
7,A.D.阿布拉姆斯,1379,1,0.38187338530125253
8,A.E.阿萨德,1379,3,0.4057317804720327
9,A.K.W.雷科夫,4300,1,0.36518693815253433
10,A.K.莫迪,1137,1,0.4363532651049583
11,A.K.萨赫德夫,1319,1,0.7236906417002383
12,A.K.辛哈,679,1,0.887772424739206
13,A.M.哈米斯,329,1,0.3571673401005964
14,A.M.拉希米,1295,2,0.6242504833635585
15,A.M.沃里宁,745,1,0.5043866065202766
16,A.M.萨斯特里,1421,1,0.7688949095711735
17,A.N.卡瓦尔卡,2369,1,0.864142660776242
18,A.R.阿伦索,164,1,0.5252206773890635
19,A.S.格雷瓦尔,1312,1,0.3440865995088262
20,A.S.格鲁瓦尔,185,1,0.5981426704044158
21,A.伊尔沙拉,2177,2,0.6331387180315424
22,A.克伦,1277,2,0.6282545310123491
23,A.克利恩,1288,2,0.3228445925332868
24,A.克拉弗,2184,1,0.32119001254181795
25,A.克莱内,234,1,0.3353372895491154
26,A.兹克勒,2529,1,0.4807934082558702
27,A.凯斯纳,1617,1,0.3825586725908307
28,A.切夫雷特,2404,1,0.34245916659671777
29,A.加法里,1284,3,0.40919225659858416
30,A.卡斯纳,1393,1,0.35928682158916936
31,A.哈尔,1928,1,0.38458770588861513
32,A.埃尔阿萨德,1130,1,0.9727299313621435
33,A.塔克马尔,703,1,0.3465036932312191
34,A.奥盖尔,1270,1,0.6086784439882735
35,A.安格洛瓦,1263,2,0.33448513631586263
36,A.安萨里,409,2,0.40919998489419374
37,A.巴博特,1970,1,0.35154387304433654
38,A.巴拉苏布拉玛尼安,815,1,0.3490776087702708
39,A.巴特莱特,1036,1,0.3166037045022525
40,A.希马吉特,1526,1,0.5
41,A.帕帕萨克拉里奥,1305,1,0.35664220374634376
42,A.帕拉苏朗,469,1,0.37436927315258783
43,A.库马尔,1050,1,0.3739038486040272
44,A.文卡特什,1127,1,0.4309431105602962
45,A.施纳,2012,1,0.43676086088033605
46,A.普法德勒,1344,2,0.6596748880475194
47,A.朗加,595,1,0.33403883312898297
48,A.桑德罗维奇,658,1,0.5107989230986597
49,A.梅尔,371,1,0.7226382959269354
50,A.汤普森,1466,1,0.34412462619267997
51,A.沙鲁莫夫,584,1,0.47317022710782364
52,A.海亚特,2306,1,0.5163600332867262
53,A.温德尔,962,5,0.5712174392291605
54,A.特尔帕兹,1375,1,0.3327142934594722
55,A.特尔帕斯,2352,1,0.3356875460092079
56,A.科切克,2198,1,0.7302559968352094
57,A.科尼斯伯格,3103,1,0.4369848503823258
58,A.穆拉尔卡,3180,1,0.36008700348024536
59,A.穆萨比尼,616,1,0.9405079882836833
60,A.米勒,2450,1,0.34398998354560445
61,A.约翰逊,2306,1,0.9154363762695654
62,A.舍恩贝格尔,1729,1,0.3213218612522083
63,A.艾布拉姆斯,885,1,0.39761619946714005
64,A.苏伊萨,738,1,0.30863106476923724
65,A.萨哈,1344,1,0.4827821293126918
66,A.萨菲拉,868,1,0.4543955543963717
67,A.赫格伦,1204,2,0.6235765434247497
68,A.迈赫梅达吉克,521,1,0.5656178347050939
69,A.迪亚拉,857,3,0.5058066962930345
70,A.阔切克,1358,1,0.8043311140171516
71,A.阿吉瓦尔,371,28,0.45100259301977597
72,A.阿迪思坦,1151,1,0.38336258464771483
73,A.阿迪斯坦,434,1,0.5019434782602991
74,A.马诺拉科斯,542,2,0.5051861783404965
75,A.麦考利,1057,1,0.4747586834805543
76,A·A·埃尔谢尔比尼,1753,1,0.34556699316183725
77,A·A·奥德布洛姆,794,1,0.7150830365399661
78,A·B·拉夫连季耶夫,1351,1,0.6021002188601423
79,A·B·科斯,4377,1,0.3886386504615074
80,A·C·兰伯特,654,1,0.9495368239624706
81,A·C·奥斯特里亚,283,1,0.3361607362994706
82,A·C·登布林克尔,1764,1,0.3103056590299044
83,A·C·莱温,6645,1,0.3869951198431022
84,A·C·马尔斯,1641,1,0.48204909039742955
85,A·D·乔治,360,1,0.558411858598649
86,A·D·保罗,371,1,0.502268493677986
87,A·D·拉森,794,1,0.45793439641666955
88,A·D·莱昂内,220,1,0.4965623075253219
89,A·D·韦切斯,416,1,0.787146630296533
90,A·D·韦勒,1680,1,0.3518811506223882
91,A·E·Y·爱尔舍立夫,1277,1,0.3179756061908205
92,A·E·施罗德,1284,1,0.9752474570270053
93,A·E·贝勒,714,2,0.33824494679052136
94,A·G·巴特,1452,1,0.8110188588737385
95,A·G·莫拉莱斯莫拉莱斯,633,1,0.3797393711057335
96,A·H·E-沙伊尔,283,1,0.4734149805207428
97,A·H·阿拉格,112,1,0.4500522073015287
98,A·I·哈希姆,3250,1,0.5070184866667361
99,A·J·M·范德威登,1277,1,0.8610629472315516
100,A·J·丹,724,2,0.4282558922454478
101,A·J·丹南布林,2331,1,0.3952341118187478
102,A·J·加西亚·罗德里格斯,420,1,0.3195987508788245
103,A·J·嘉宝莉,973,1,0.3542345764421561
104,A·J·基巴尔,787,1,0.31924680795819665
105,A·J·李,318,1,0.6920192539211396
106,A·J·林格,1627,2,0.35190461060239625
107,A·J·柯林斯,84,2,0.3723543789741445
108,A·J·泽费尔德,206,2,0.4759663714539026
109,A·J·维罗索,2390,1,0.5233790761381792
110,A·J·费伊,217,1,0.7798900730659374
111,A·K·古普塔,577,1,0.6581333790757392
112,A·K·布朗,745,1,0.5013479352021794
113,A·K·库马,773,1,0.34958357513432414
114,A·K·拉塞尔,1571,2,0.3512904962943304
115,A·K·拉马苏布拉莫尼安,234,1,0.35133767564326
116,A·K·斯里瓦斯塔瓦,955,1,0.5261311539236381
117,A·K·瑞玛苏布雷蒙尼安,325,7,0.42546304077663816
118,A·K·萨奇德夫,2387,1,0.39844698697053166
119,A·K·路易斯,2187,1,0.3838241532297663
120,A·K·阿克拉,805,4,0.6042120803565576
121,A·L·K·洛克伍德,1512,1,0.4100785804671628
122,A·L·W·孙,385,1,0.34159400576450655
123,A·L·明金,574,1,0.3496251046253692
124,A·L·瓦萨洛,1431,1,0.356308214671319
125,A·L·罗斯,882,1,0.33995494340205906
126,A·L·金,966,3,0.48653359034066157
127,A·L·阿马吉克佩,941,1,0.4957116244529046
128,A·M·哈米斯,140,2,0.6843090513954233
129,A·M·托热恩,3250,1,0.3731070344592001
130,A·M·杜达尔,1893,1,0.3497042528239617
131,A·M·沃尔,1344,1,0.5392869039221212
132,A·M·科波拉,556,6,0.4424321446598866
133,A·M·穆诺兹德尔加多,315,2,0.47074323631882237
134,A·M·罗泽波姆,679,1,0.31456847217349004
135,A·M·萨穆埃尔,1431,1,0.6057479022645885
136,A·M·马尔雅,42,1,0.700456342555625
137,A·M·麦格纳尼,1337,1,0.33324992764976785
138,A·N·布鲁克斯,4580,1,0.45711685344390207
139,A·N·沙,1022,1,0.775312841288518
